처분일자,교부번호,업소명,소재지도로명,소재지지번,지도점검일자,처분명,법적근거,위반내용
20210624,19970069991,로파이(LO-FI),"서울특별시 마포구 와우산로19길 26, (서교동,지하1층)",서울특별시 마포구 서교동  364번지 16호  지하1층,20210604,영업정지,법 제71조 및 법 제75조,일반음식점영업자가 음향시설을 갖추고 손님이 춤을 추는 것을 허용하는 행위
20210722,20140069205,써브웨이합정역메세나폴리스점,"서울특별시 마포구 양화로 45, 2층 213,214호 (서교동, 메세나폴리스몰)",서울특별시 마포구 서교동  490번지  ,20210615,시정명령,"법 제71조, 법 제72조, 법 제75조 및 법 제76조",이물질 혼입
20210722,20200069039,싸다김밥 망원역점,"서울특별시 마포구 월드컵로 89, 1층 (망원동)",서울특별시 마포구 망원동  373번지 5호  ,20210621,시정명령,"법 제71조, 법 제72조 및 법 제75조",이물질 혼입
20210722,20200070634,피굽남피자(연남점),"서울특별시 마포구 성미산로17길 105, 1층 (연남동)",서울특별시 마포구 연남동  487번지 24호  ,20210621,시정명령,"법 제71조, 법 제72조, 법 제75조 및 법 제76조",이물질 혼입
20210722,20170069274,슬로우캘리,"서울특별시 마포구 동교로38길 35, (연남동, 1층일부)",서울특별시 마포구 연남동  390번지 42호  ,20210615,시정명령,"법 제71조, 법 제72조, 법 제75조 및 법 제76조",이물질 혼입
20210729,20100070228,우드스탁,"서울특별시 마포구 독막로7길 53, (서교동,지층)",서울특별시 마포구 서교동  395번지 21호  지층,20210703,영업정지,법 제101조제4항3호,일반 음식점 영업자가 음향 시설을 갖추고 손님이 춤을 추는 것을 허용하는 행위
20210804,19850069131,일등식당,"서울특별시 마포구 방울내로 82, (망원동)",서울특별시 마포구 망원동  476번지 1호  ,20210706,시정명령,"법 제71조, 법 제72조, 법 제75조 및 법 제76조",이물질혼입
20210902,20200069706,투다리,"서울특별시 마포구 도화2길 6, 1층 (도화동)",서울특별시 마포구 도화동  342번지  ,20210509,영업정지 1개월(기소유예로 1/2 감경 처분),법 제75조,청소년 주류제공(1차)
20210914,20060070037,구공탄곱창,"서울특별시 마포구 동교로 98, 1층 (서교동)",서울특별시 마포구 서교동  480번지 14호  1층,20210719,시정명령,"법 제71조, 법 제74조 및 법 제75조",주차장 면적에 영업행위에 사용되는 각종 물건 비치
20211012,20040070483,마포숯불닭갈비,"서울특별시 마포구 마포대로8안길 14, (공덕동,1층101호)",서울특별시 마포구 공덕동  249번지 18호  1층101호,20210923,영업정지,"법 제71조, 법 제72조 및 법 제75조",조리식품에 이물(스테플러 심) 혼입
20211027,20190070870,오늘은,"서울특별시 마포구 와우산로 162-10, 1층 (서교동)",서울특별시 마포구 서교동  325번지 5호  ,20210706,시정명령,법 제37조 7항,영업장외 영업 1차
20211229,20140069724,컨벤트펍,"서울특별시 마포구 와우산로17길 19-22, 지1층 (서교동)",서울특별시 마포구 서교동  408번지 16호  지1층,20210925,영업정지2월(2022.01.03~03.03),법 제71조 및 법 제75조,일반음식점 내 춤추는 행위
20220117,20060069374,샴락앤롤,"서울특별시 마포구 와우산로17길 15, (서교동, 2층)",서울특별시 마포구 서교동  409번지 1호  ,20211030,영업정지 60잉,법 제71조 및 법 제75조,일반음식점에서 이용객이 춤추는 행위 허용.
20220120,20210070900,아톰,"서울특별시 마포구 와우산로17길 11, 1층 (서교동)",서울특별시 마포구 서교동  410번지 9호  ,20211023,영업정지 60일,법 제71조 및 법 제75조,일반음식점에서 춤추는 행위 허용
20220128,20210071129,레몬(Lemon),"서울특별시 마포구 와우산로 77, 1층 (서교동)",서울특별시 마포구 서교동  362번지 6호  ,20211120,영업정지,법 제71조 및 법 제75조,일반음식점에서 이용객이 춤추는 행위 허용
20220304,20120070246,더쿠포차,"서울특별시 마포구 양화로6길 57-5, (서교동, 지하1층 일부)",서울특별시 마포구 서교동  396번지 58호  ,20201208,영업정지 2개월,법 제75조 3항,청소년 주류제공(1차)
20220321,20210070457,웨이브(WAVE),"서울특별시 마포구 와우산로21길 36-3, 태윤빌딩 지하1,2층 (서교동)",서울특별시 마포구 서교동  358번지 58호  태윤빌딩,20220127,영업정지 60일,법 제71조 및 법 제75조,일반음식점에서 이용객이 춤추는 행위 허용
20220531,20190070835,얼맥당 홍대카페거리점,"서울특별시 마포구 독막로3길 17, 1층 (서교동)",서울특별시 마포구 서교동  395번지 37호  ,20211108,시정명령,"법 제71조, 법 제74조,법 제75조 및 법 제76조",영업장으로 신고되지 않은 면적에서 주방시설을 갖추고 영업
