manage_id,permission_date,legacy_address,address,store_name
3130000-101-2020-00667,2020.8.21,서울특별시 마포구 연남동 390-35 지빌딩 ,"서울특별시 마포구 동교로38길 33, 지빌딩 1층 102호 (연남동)",종로계림닭도리탕원조(연남점)
3130000-101-2020-00668,2020.8.21,서울특별시 마포구 상수동 341-4 ,"서울특별시 마포구 와우산로3길 11, 3층 (상수동)",사(4)
3130000-101-2020-00671,2020.8.24,서울특별시 마포구 합정동 388-32 ,"서울특별시 마포구 월드컵로1길 40, 2층 (합정동)",촉촉73노가리
3130000-101-2020-00675,2020.8.25,서울특별시 마포구 연남동 229-51 ,"서울특별시 마포구 동교로 255-1, 지층 (연남동)",제이앤제이슨R
3130000-101-2020-00676,2020.8.25,서울특별시 마포구 망원동 377-16,"서울특별시 마포구 동교로9길 44, 1층 (망원동)",악어마끼 망원점
3130000-101-2020-00677,2020.8.25,서울특별시 마포구 대흥동 12-2 ,"서울특별시 마포구 대흥로 193, 1층 일부호 (대흥동)",이화청국장
3130000-101-2020-00678,2020.8.25,서울특별시 마포구 성산동 278-23 ,"서울특별시 마포구 월드컵로32길 9, 1층 (성산동)",팔월의 봄
3130000-101-2020-00679,2020.8.25,서울특별시 마포구 대흥동 18-1 ,"서울특별시 마포구 고산길 158, 1층 (대흥동)",대흥동 멸치국수
3130000-101-2020-00682,2020.8.25,서울특별시 마포구 대흥동 322-2 ,"서울특별시 마포구 백범로 84, 1층 103호 (대흥동)",세끼 김밥
3130000-101-2020-00683,2020.8.26,서울특별시 마포구 망원동 475-40 명현빌딩 ,"서울특별시 마포구 포은로 146, 명현빌딩 1층 101-2호 (망원동)",소소
3130000-101-2020-00684,2020.8.26,서울특별시 마포구 서교동 408-25 ,"서울특별시 마포구 와우산로15길 40, 1층 일부 102호 (서교동)",모센즈스위트
3130000-101-2020-00685,2020.8.26,서울특별시 마포구 성산동 641-9 ,"서울특별시 마포구 잔다리로 131, 1층 우측 호 (성산동)",불마카세
3130000-101-2020-00686,2020.8.26,서울특별시 마포구 합정동 360-16 ,"서울특별시 마포구 독막로8길 28, 1층 (합정동)",컨큐어 카페
3130000-101-2020-00688,2020.8.27,서울특별시 마포구 연남동 564-37 ,"서울특별시 마포구 연남로1길 88, 1층 일부호 (연남동)",안주먹고 팔자피자
3130000-101-2020-00690,2020.8.27,서울특별시 마포구 연남동 225-13 ,"서울특별시 마포구 동교로 275-1, 1층 (연남동)",꼬요식당
3130000-101-2020-00692,2020.8.27,서울특별시 마포구 망원동 486-8 ,"서울특별시 마포구 포은로8길 25, 1층 (망원동)",망원 떡갈비
3130000-101-2020-00694,2020.8.28,서울특별시 마포구 상암동 1605 누리꿈스퀘어 ,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 지1층 B1035호, B호 (상암동)",삼겹본능.흥부찜닭
3130000-101-2020-00700,2020.8.31,서울특별시 마포구 공덕동 249-44 ,"서울특별시 마포구 마포대로8안길 11, 지층 (공덕동)",시실리 공덕
3130000-101-2020-00704,2020.9.1,서울특별시 마포구 서교동 403-23 ,"서울특별시 마포구 독막로9길 26, 지층 (서교동)",나루토
3130000-101-2020-00705,2020.9.1,서울특별시 마포구 망원동 435-34 ,"서울특별시 마포구 방울내로 69, 1층 (망원동)",로그인
3130000-101-2020-00709,2020.6.4,서울특별시 마포구 상암동 1605 누리꿈스퀘어 ,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 지하1층 B1034호 (상암동)",스시앤도시락
3130000-101-2020-00710,2020.9.1,서울특별시 마포구 동교동 152-27 ,"서울특별시 마포구 동교로 220-5, 지1층 B02호 (동교동)",밀림
3130000-101-2020-00713,2020.9.2,서울특별시 마포구 서교동 487 서교동 대우미래사랑 ,"서울특별시 마포구 월드컵북로5나길 18, 1층 107호 (서교동, 서교동 대우미래사랑)",동궁찜닭 서교점
3130000-101-2020-00718,2020.9.4,서울특별시 마포구 아현동 572-97 ,"서울특별시 마포구 굴레방로7길 59, 1층 (아현동)",해든 한식뷔페
3130000-101-2020-00719,2020.9.4,서울특별시 마포구 연남동 515-19 ,"서울특별시 마포구 연남로 25, 1층 (연남동)",감나무집(1층)
3130000-101-2020-00721,2020.9.4,서울특별시 마포구 망원동 394-89 ,"서울특별시 마포구 포은로 63, 2층 (망원동)",리파인 망원
3130000-101-2020-00722,2020.9.4,서울특별시 마포구 망원동 432-31 ,"서울특별시 마포구 망원로3길 48, 1층 우측호 (망원동)",아셰프
3130000-101-2020-00723,2020.9.4,서울특별시 마포구 연남동 487-24 ,"서울특별시 마포구 성미산로17길 105, 1층 (연남동)",오이소순대국
3130000-101-2020-00724,2020.9.4,서울특별시 마포구 서교동 360-10 ,"서울특별시 마포구 와우산로18길 38, 2층 (서교동)",미디엄(Medium)
3130000-101-2020-00727,2020.9.7,서울특별시 마포구 서교동 358-42 ,"서울특별시 마포구 와우산로21길 28-12, 지1층 (서교동)",청춘부추소곱창
3130000-101-2020-00728,2020.9.7,서울특별시 마포구 연남동 223-14 ,"서울특별시 마포구 성미산로 161-10, 2층 (연남동)",하이하우스(High House)
3130000-101-2020-00729,2020.9.7,서울특별시 마포구 성산동 231-17 ,"서울특별시 마포구 성미산로 71, 1층 (성산동)",앤-플라이(N-FLY)
3130000-101-2020-00731,2020.9.7,서울특별시 마포구 서교동 397-15 ,"서울특별시 마포구 어울마당로5길 46, 1층 (서교동)",서교주담
3130000-101-2020-00735,2020.9.8,서울특별시 마포구 동교동 204-29 ,"서울특별시 마포구 월드컵북로4길 39, 지하1층 (동교동)",따르디오
3130000-101-2020-00736,2020.9.8,서울특별시 마포구 망원동 377-1 마포로얄프라자 ,"서울특별시 마포구 월드컵로 87, 마포로얄프라자 1층 110호 (망원동)",만월
3130000-101-2020-00740,2020.9.8,서울특별시 마포구 서교동 363-29 ,"서울특별시 마포구 잔다리로 4, 2층 (서교동)",서플라이 디팟(supply depot)
3130000-101-2020-00741,2020.9.9,서울특별시 마포구 노고산동 31-2 ,"서울특별시 마포구 신촌로 108, 1층 (노고산동)",주류상회Be 신촌점
3130000-101-2020-00743,2020.9.9,서울특별시 마포구 합정동 381-30 ,"서울특별시 마포구 양화진길 6, 1층 (합정동)",따로집
3130000-101-2020-00744,2020.9.9,서울특별시 마포구 연남동 260-47 ,"서울특별시 마포구 동교로32길 5, 3층 (연남동)",요즘
3130000-101-2020-00745,2020.9.9,서울특별시 마포구 상암동 1615 PARK M ,"서울특별시 마포구 매봉산로 80, PARK M 1층 5호 (상암동)",새벽숯불가든
3130000-101-2020-00746,2020.9.9,서울특별시 마포구 공덕동 476 공덕파크자이 ,"서울특별시 마포구 백범로 152, 202동 1층 11호 (공덕동, 공덕파크자이)",그린데이즈(Green days)
3130000-101-2020-00748,2020.9.10,서울특별시 마포구 서교동 476-18 ,"서울특별시 마포구 월드컵로10길 5, 1층 (서교동)",도미노피자 망원점
3130000-101-2020-00754,2020.9.14,서울특별시 마포구 상암동 33-9 ,"서울특별시 마포구 월드컵북로44길 35-5, 1,2층 (상암동)",이화포차
3130000-101-2020-00757,2020.9.14,서울특별시 마포구 용강동 50-16 A&D빌딩 ,"서울특별시 마포구 마포대로1길 16, A&D빌딩 5층 (용강동)",루바토
3130000-101-2020-00759,2020.9.14,서울특별시 마포구 연남동 487-23 ,"서울특별시 마포구 성미산로17길 109, 1층 (연남동)",마인드엔터(Mind enter)
3130000-101-2020-00760,2020.9.15,서울특별시 마포구 서교동 247-14 ,"서울특별시 마포구 월드컵북로 49, 1층 (서교동)",마포구이마당 서교직영점
3130000-101-2020-00764,2020.9.17,서울특별시 마포구 신수동 93-190 ,"서울특별시 마포구 신수로 104, 지하1층 (신수동)",한평솔루션
3130000-101-2020-00768,2020.9.18,서울특별시 마포구 신공덕동 172 펜트라우스 ,"서울특별시 마포구 백범로 205, 101동 지2층 B226호 (신공덕동, 펜트라우스)",TONKATSU JUN俊(돈카츠 준)
3130000-101-2020-00771,2020.9.21,서울특별시 마포구 상암동 34-79 ,"서울특별시 마포구 월드컵북로 338, 1층 (상암동)",두마리찜닭 두찜 마포상암점
3130000-101-2020-00774,2020.9.21,서울특별시 마포구 서교동 356-3 ,"서울특별시 마포구 홍익로3길 8, 5층 (서교동)",보드게임카페 홈즈앤루팡 홍대점
3130000-101-2020-00781,2020.9.22,서울특별시 마포구 용강동 502 래미안 마포 리버웰 ,"서울특별시 마포구 토정로31길 23, 래미안 마포 리버웰 121동 지1층 121호 (용강동)",긴자료코 공덕점
3130000-101-2020-00782,2020.9.22,서울특별시 마포구 공덕동 385-65 공덕SK리더스뷰 ,"서울특별시 마포구 백범로31길 7, 2동 1층 112호 (공덕동, 공덕SK리더스뷰)",공덕로스터리
3130000-101-2020-00783,2020.9.22,서울특별시 마포구 동교동 201-32 ,"서울특별시 마포구 동교로 175, 지하1층 (동교동)",텐bar
3130000-101-2020-00786,2020.9.23,서울특별시 마포구 연남동 259-16 ,"서울특별시 마포구 동교로 243, 3층 (연남동)",테판 클럽
3130000-101-2020-00788,2020.9.24,서울특별시 마포구 대흥동 327-5 ,"서울특별시 마포구 독막로 253-1, 1층 (대흥동)",눅(nuuk)
3130000-101-2020-00791,2020.9.24,서울특별시 마포구 망원동 415-56 ,"서울특별시 마포구 희우정로20길 65, 1동 2호 (망원동)",락떼스피릿(Rocktte spirit)
3130000-101-2020-00793,2020.9.25,서울특별시 마포구 서교동 464-46 ,"서울특별시 마포구 동교로 136, 1층 101호 (서교동)",하연옥 마포직영점
3130000-101-2020-00794,2020.9.25,서울특별시 마포구 서교동 358-99 ,"서울특별시 마포구 홍익로 13-12, 지층 2호 (서교동)",요괴냥수비대
3130000-101-2020-00796,2020.9.25,서울특별시 마포구 염리동 157-5,"서울특별시 마포구 백범로24길 1-7, 1층 (염리동)",유진
3130000-101-2020-00799,2020.9.28,서울특별시 마포구 서교동 395-13 ,"서울특별시 마포구 잔다리로 35, 1층 102호 (서교동)",유니티 레코드바
3130000-101-2020-00800,2020.9.28,서울특별시 마포구 도화동 201-42 ,"서울특별시 마포구 삼개로 7-2, 2층 (도화동)",마라탕&마라샹궈 피슈마라홍탕 마포역점
3130000-101-2020-00801,2020.9.29,서울특별시 마포구 합정동 397-6 ,"서울특별시 마포구 희우정로1길 7, 2층 (합정동)",하노이안
3130000-101-2020-00804,2020.9.29,서울특별시 마포구 연남동 228-42 ,"서울특별시 마포구 동교로 254, 2층 (연남동)",살롱드민
3130000-101-2020-00812,2020.10.5,서울특별시 마포구 도화동 251-8 ,"서울특별시 마포구 마포대로4길 29, 지1층 (도화동)",마마수 수제분식
3130000-101-2020-00814,2020.10.6,서울특별시 마포구 연남동 229-67 ,"서울특별시 마포구 동교로 267, 2층 (연남동)",아노브 연남
3130000-101-2020-00815,2020.10.6,서울특별시 마포구 연남동 454-7 ,"서울특별시 마포구 성미산로27길 69, 1층 (연남동)",비공간
3130000-101-2020-00817,2020.10.6,서울특별시 마포구 합정동 392-13 ,"서울특별시 마포구 양화로1길 25, 2층 (합정동)",스프링 비스트로
3130000-101-2020-00819,2020.10.7,서울특별시 마포구 서교동 395-28,"서울특별시 마포구 독막로3길 29, 1층 (서교동)",쓰리세컨즈
3130000-101-2020-00820,2020.10.7,서울특별시 마포구 상암동 12-41,"서울특별시 마포구 매봉산로2안길 19, 지하1층 (상암동)",인디램
3130000-101-2020-00825,2020.10.8,서울특별시 마포구 연남동 260-26 송스26,"서울특별시 마포구 동교로 242-4, 송스26 2층 (연남동)",제이드럭
3130000-101-2020-00826,2020.10.12,서울특별시 마포구 노고산동 56-28 ,"서울특별시 마포구 신촌로14길 30, 지1층 (노고산동)",따뜻한 음식점
3130000-101-2020-00827,2020.10.12,서울특별시 마포구 서교동 365-10 ,"서울특별시 마포구 홍익로3길 25, 1층 (서교동)",닭강정사냥
3130000-101-2020-00828,2020.10.12,서울특별시 마포구 연남동 241-86 ,"서울특별시 마포구 성미산로29안길 27, 1층 (연남동)",루트커피
3130000-101-2020-00835,2020.10.13,서울특별시 마포구 상수동 315-3 ,"서울특별시 마포구 독막로15길 3-3, 1층 101호 (상수동)",이안정
3130000-101-2020-00836,2020.10.13,서울특별시 마포구 동교동 201-33 동교동빌딩 ,"서울특별시 마포구 동교로 177, 동교동빌딩 에이동 1층 좌측 호 (동교동)",가메스시
3130000-101-2020-00839,2020.10.13,서울특별시 마포구 연남동 387-26 ,"서울특별시 마포구 동교로46길 20, 1층 (연남동)",꽈페 연남본점
3130000-101-2020-00841,2020.10.14,서울특별시 마포구 합정동 432-6 화진리버빌 ,"서울특별시 마포구 동교로 60, 1층 102호 (합정동, 화진리버빌)",밥사랑
3130000-101-2020-00842,2020.10.14,서울특별시 마포구 합정동 363-30 ,"서울특별시 마포구 독막로4길 9, 지1층 (합정동)",리틀케이브(little cave)
3130000-101-2020-00846,2020.10.15,서울특별시 마포구 연남동 228-55 ,"서울특별시 마포구 동교로38길 7, 지하1층 (연남동)",연남고집
3130000-101-2020-00847,2020.10.15,서울특별시 마포구 상수동 316-3 ,"서울특별시 마포구 와우산로13길 49-10, 지층 101호 (상수동)",멘타카무쇼
3130000-101-2020-00851,2020.10.19,서울특별시 마포구 창전동 442 서강한화오벨리스크 ,"서울특별시 마포구 창전로 45, 103동 1층 107호 (창전동, 서강한화오벨리스크)",열정국밥
3130000-101-2020-00854,2020.10.20,서울특별시 마포구 망원동 475-30 C.M빌딩 ,"서울특별시 마포구 포은로 142, C.M빌딩 1층 (망원동)",포도당
3130000-101-2020-00855,2020.10.20,서울특별시 마포구 공덕동 385-65 공덕SK리더스뷰 ,"서울특별시 마포구 백범로31길 7, 상가동 B106호 (공덕동, 공덕SK리더스뷰)",청담동마녀김밥 공덕점
3130000-101-2020-00857,2020.10.20,서울특별시 마포구 서교동 396-58,"서울특별시 마포구 양화로6길 57-5, 2층 (서교동)",아프릴
3130000-101-2020-00861,2020.10.22,서울특별시 마포구 연남동 387-31 ,"서울특별시 마포구 성미산로 190-31, 지1층 (연남동)",거북이의 꿈
